run_id,subject_id,fold_id,n_train,n_val,n_test,train_class_counts,val_class_counts,test_class_counts,best_valid_loss,accuracy,balanced_accuracy,confusion_matrix,prediction_histogram
20260408_1735_90a931e9,51,5,128,32,40,"[32, 32, 32, 32]","[8, 8, 8, 8]","[10, 10, 10, 10]",1.1099583506584167,0.6,0.6,"[[7, 1, 0, 2], [3, 5, 1, 1], [2, 1, 6, 1], [2, 1, 1, 6]]","[14, 8, 8, 10]"
20260408_1735_90a931e9,51,4,128,32,40,"[32, 32, 32, 32]","[8, 8, 8, 8]","[10, 10, 10, 10]",0.8044685125350952,0.525,0.525,"[[4, 4, 2, 0], [2, 4, 1, 3], [2, 1, 7, 0], [1, 2, 1, 6]]","[9, 11, 11, 9]"
20260408_1735_90a931e9,51,2,128,32,40,"[32, 32, 32, 32]","[8, 8, 8, 8]","[10, 10, 10, 10]",0.9060226082801819,0.65,0.6499999999999999,"[[7, 0, 1, 2], [3, 3, 1, 3], [0, 1, 9, 0], [1, 0, 2, 7]]","[11, 4, 13, 12]"
20260408_1735_90a931e9,51,3,128,32,40,"[32, 32, 32, 32]","[8, 8, 8, 8]","[10, 10, 10, 10]",0.5909140557050705,0.675,0.675,"[[6, 2, 0, 2], [0, 6, 2, 2], [0, 0, 8, 2], [0, 2, 1, 7]]","[6, 10, 11, 13]"
20260408_1735_90a931e9,51,1,128,32,40,"[32, 32, 32, 32]","[8, 8, 8, 8]","[10, 10, 10, 10]",0.9685461521148682,0.625,0.625,"[[7, 1, 1, 1], [4, 5, 1, 0], [0, 0, 9, 1], [2, 3, 1, 4]]","[13, 9, 12, 6]"
20260408_1747_bce3c5ff,51,5,128,32,40,"[32, 32, 32, 32]","[8, 8, 8, 8]","[10, 10, 10, 10]",1.38546621799469,0.4,0.4,"[[4, 3, 1, 2], [2, 3, 3, 2], [3, 1, 4, 2], [1, 2, 2, 5]]","[10, 9, 10, 11]"
20260408_1747_bce3c5ff,51,4,128,32,40,"[32, 32, 32, 32]","[8, 8, 8, 8]","[10, 10, 10, 10]",0.7356340289115906,0.6,0.6,"[[6, 3, 0, 1], [1, 7, 0, 2], [0, 2, 7, 1], [0, 3, 3, 4]]","[7, 15, 10, 8]"
20260408_1747_bce3c5ff,51,2,128,32,40,"[32, 32, 32, 32]","[8, 8, 8, 8]","[10, 10, 10, 10]",1.0756827592849731,0.55,0.55,"[[5, 1, 1, 3], [2, 4, 1, 3], [1, 1, 8, 0], [1, 4, 0, 5]]","[9, 10, 10, 11]"
20260408_1747_bce3c5ff,51,3,128,32,40,"[32, 32, 32, 32]","[8, 8, 8, 8]","[10, 10, 10, 10]",0.7880262732505798,0.7,0.7000000000000001,"[[8, 1, 0, 1], [2, 4, 1, 3], [1, 1, 7, 1], [0, 1, 0, 9]]","[11, 7, 8, 14]"
20260408_1747_bce3c5ff,51,1,128,32,40,"[32, 32, 32, 32]","[8, 8, 8, 8]","[10, 10, 10, 10]",1.0262426137924194,0.625,0.625,"[[6, 1, 2, 1], [4, 5, 1, 0], [0, 0, 9, 1], [1, 3, 1, 5]]","[11, 9, 13, 7]"
20260408_1759_d0b4779b,51,5,128,32,40,"[32, 32, 32, 32]","[8, 8, 8, 8]","[10, 10, 10, 10]",1.2347232699394226,0.475,0.475,"[[5, 1, 1, 3], [2, 5, 1, 2], [0, 1, 5, 4], [1, 4, 1, 4]]","[8, 11, 8, 13]"
20260408_1759_d0b4779b,51,4,128,32,40,"[32, 32, 32, 32]","[8, 8, 8, 8]","[10, 10, 10, 10]",1.3870950937271118,0.15,0.15000000000000002,"[[0, 6, 0, 4], [1, 4, 0, 5], [2, 4, 0, 4], [5, 3, 0, 2]]","[8, 17, 0, 15]"
20260408_1759_d0b4779b,51,2,128,32,40,"[32, 32, 32, 32]","[8, 8, 8, 8]","[10, 10, 10, 10]",1.1255788505077362,0.625,0.625,"[[7, 1, 2, 0], [6, 3, 0, 1], [0, 1, 9, 0], [2, 0, 2, 6]]","[15, 5, 13, 7]"
20260408_1759_d0b4779b,51,1,128,32,40,"[32, 32, 32, 32]","[8, 8, 8, 8]","[10, 10, 10, 10]",1.4022318124771118,0.4,0.4,"[[4, 2, 0, 4], [2, 4, 0, 4], [3, 1, 0, 6], [0, 2, 0, 8]]","[9, 9, 0, 22]"
20260408_1759_d0b4779b,51,3,128,32,40,"[32, 32, 32, 32]","[8, 8, 8, 8]","[10, 10, 10, 10]",0.6924239695072174,0.45,0.44999999999999996,"[[4, 3, 1, 2], [1, 5, 3, 1], [1, 2, 5, 2], [2, 3, 1, 4]]","[8, 13, 10, 9]"
20260408_1811_f79c8bc1,51,5,128,32,40,"[32, 32, 32, 32]","[8, 8, 8, 8]","[10, 10, 10, 10]",1.3673455715179443,0.325,0.325,"[[3, 3, 2, 2], [2, 2, 5, 1], [1, 3, 4, 2], [3, 2, 1, 4]]","[9, 10, 12, 9]"
20260408_1811_f79c8bc1,51,4,128,32,40,"[32, 32, 32, 32]","[8, 8, 8, 8]","[10, 10, 10, 10]",1.0668437480926514,0.55,0.55,"[[5, 2, 1, 2], [0, 7, 1, 2], [1, 3, 5, 1], [1, 2, 2, 5]]","[7, 14, 9, 10]"
20260408_1811_f79c8bc1,51,3,128,32,40,"[32, 32, 32, 32]","[8, 8, 8, 8]","[10, 10, 10, 10]",0.9800981879234314,0.7,0.7,"[[8, 1, 0, 1], [2, 6, 1, 1], [2, 0, 7, 1], [1, 2, 0, 7]]","[13, 9, 8, 10]"
20260408_1811_f79c8bc1,51,1,128,32,40,"[32, 32, 32, 32]","[8, 8, 8, 8]","[10, 10, 10, 10]",0.8927672505378723,0.7,0.7,"[[8, 0, 1, 1], [5, 4, 0, 1], [1, 0, 9, 0], [0, 2, 1, 7]]","[14, 6, 11, 9]"
